,Population
189058,B-cells
189068,T-cells
189073,B-cells
189082,T-cells
189083,T-cells
189086,T-cells
189095,T-cells
189096,B-cells
189100,B-cells
189106,T-cells
189112,Monocytes
189120,Other_cells
189139,T-cells
189148,T-cells
189181,T-cells
189182,Monocytes
189187,T-cells
189189,T-cells
189192,Monocytes
189202,B-cells
189209,T-cells
189225,T-cells
189240,B-cells
189244,T-cells
189248,T-cells
189253,T-cells
189255,Monocytes
189288,T-cells
189295,T-cells
189297,T-cells
189305,T-cells
189320,T-cells
189328,T-cells
189329,B-cells
189330,T-cells
189334,T-cells
189335,T-cells
189358,T-cells
189364,T-cells
189365,T-cells
189368,B-cells
189371,B-cells
189378,B-cells
189384,T-cells
189385,Monocytes
189396,B-cells
189400,B-cells
189420,T-cells
189459,T-cells
189463,B-cells
189468,Monocytes
189471,T-cells
189473,T-cells
189475,T-cells
189476,T-cells
189485,T-cells
189494,T-cells
189495,T-cells
189505,Monocytes
189509,T-cells
189510,B-cells
189513,T-cells
189517,B-cells
189523,T-cells
189530,T-cells
189534,T-cells
189538,T-cells
189542,B-cells
189547,T-cells
189559,T-cells
189566,T-cells
189570,B-cells
189571,T-cells
189576,T-cells
189590,T-cells
189593,T-cells
189623,T-cells
189630,T-cells
189634,T-cells
189637,B-cells
189638,T-cells
189656,T-cells
189670,T-cells
189678,T-cells
189679,T-cells
189682,Other_cells
189695,Monocytes
189696,T-cells
189701,T-cells
189707,B-cells
189711,T-cells
189722,T-cells
189724,B-cells
189742,B-cells
189760,B-cells
189775,Monocytes
189785,Monocytes
189789,T-cells
189792,T-cells
189811,T-cells
189812,T-cells
189813,Other_cells
189826,B-cells
189827,T-cells
189834,T-cells
189836,T-cells
189838,B-cells
189839,T-cells
189845,B-cells
189860,T-cells
189873,T-cells
189877,T-cells
189883,B-cells
189891,B-cells
189893,T-cells
189897,T-cells
189899,Other_cells
189900,T-cells
189906,Monocytes
189912,Monocytes
189924,T-cells
189943,B-cells
189950,B-cells
189951,T-cells
189961,B-cells
189963,T-cells
189980,T-cells
189983,T-cells
189984,Monocytes
189986,B-cells
189990,T-cells
190005,T-cells
190013,T-cells
190021,B-cells
190031,T-cells
190034,T-cells
190042,T-cells
190051,T-cells
190057,T-cells
190059,B-cells
190069,T-cells
190070,T-cells
190073,T-cells
190074,Monocytes
190077,B-cells
190093,T-cells
190097,T-cells
190102,Other_cells
190105,Other_cells
190113,Other_cells
190114,T-cells
190126,T-cells
190127,T-cells
190131,B-cells
190138,B-cells
190146,T-cells
190166,T-cells
190170,T-cells
190189,T-cells
190192,T-cells
190201,B-cells
190206,T-cells
190224,B-cells
190226,Other_cells
190227,T-cells
190240,T-cells
190245,T-cells
190251,B-cells
190260,T-cells
190265,T-cells
190270,B-cells
190273,T-cells
190276,B-cells
190279,T-cells
190285,B-cells
190294,B-cells
190295,T-cells
190306,T-cells
190313,T-cells
190328,B-cells
190333,Other_cells
190345,Other_cells
190349,T-cells
190355,T-cells
190368,T-cells
190373,T-cells
190376,T-cells
190381,T-cells
190385,B-cells
190387,B-cells
190390,T-cells
190395,B-cells
190401,T-cells
190436,Monocytes
190454,T-cells
190457,Monocytes
190481,T-cells
190492,T-cells
190521,B-cells
190530,T-cells
190533,T-cells
190539,T-cells
190545,B-cells
190560,T-cells
190564,T-cells
190566,Monocytes
190574,T-cells
190590,Monocytes
190595,T-cells
190615,T-cells
190617,T-cells
190621,T-cells
190625,T-cells
190628,T-cells
190635,T-cells
190636,Other_cells
190637,T-cells
190640,B-cells
190644,T-cells
190649,B-cells
190657,T-cells
190663,B-cells
190675,B-cells
190683,T-cells
190684,T-cells
190688,B-cells
190697,T-cells
190700,T-cells
190708,T-cells
190728,T-cells
190742,T-cells
190755,T-cells
190757,T-cells
190759,T-cells
190761,B-cells
190766,T-cells
190767,T-cells
190774,Other_cells
190794,Other_cells
190803,T-cells
190809,T-cells
190812,T-cells
190813,B-cells
190815,T-cells
190816,T-cells
190819,T-cells
190820,B-cells
190822,T-cells
190823,T-cells
190834,B-cells
190853,T-cells
190859,T-cells
190861,T-cells
190864,T-cells
190877,T-cells
190878,B-cells
190888,T-cells
190903,T-cells
190907,Monocytes
190920,T-cells
190927,T-cells
190933,Monocytes
190934,T-cells
190941,Monocytes
190942,T-cells
190962,T-cells
190967,B-cells
190969,T-cells
190976,T-cells
190977,T-cells
190984,T-cells
190993,T-cells
190996,B-cells
191004,T-cells
191010,T-cells
191019,B-cells
191020,T-cells
191021,T-cells
191037,T-cells
191040,T-cells
191041,B-cells
191042,B-cells
191053,Other_cells
191054,T-cells
191070,T-cells
191074,T-cells
191086,Other_cells
191090,T-cells
191096,T-cells
191109,B-cells
191110,T-cells
191113,T-cells
191115,T-cells
191116,B-cells
191117,Monocytes
191118,B-cells
191131,T-cells
191133,T-cells
191140,B-cells
191142,T-cells
191159,T-cells
191175,Other_cells
191184,B-cells
191186,T-cells
191187,T-cells
191198,T-cells
191201,T-cells
191214,T-cells
191216,B-cells
191217,B-cells
191240,B-cells
191243,B-cells
191244,Other_cells
191263,B-cells
191271,T-cells
191294,B-cells
191303,Monocytes
191309,T-cells
191312,T-cells
191315,T-cells
191327,Monocytes
191353,Monocytes
191356,Other_cells
191367,Other_cells
191370,T-cells
191382,T-cells
191388,T-cells
191402,T-cells
191408,T-cells
191421,B-cells
191425,T-cells
191441,B-cells
191442,T-cells
191444,T-cells
191445,T-cells
191448,T-cells
191464,T-cells
191465,T-cells
191467,B-cells
191472,B-cells
191481,T-cells
191490,T-cells
191499,B-cells
191504,B-cells
191505,T-cells
191507,T-cells
191525,T-cells
191539,B-cells
191547,Other_cells
191548,T-cells
191552,T-cells
191558,T-cells
191562,T-cells
191570,T-cells
191586,T-cells
191604,T-cells
191611,Monocytes
191615,T-cells
191623,T-cells
191624,T-cells
191646,T-cells
191649,T-cells
191663,T-cells
191673,T-cells
191677,T-cells
191678,B-cells
191682,B-cells
191685,T-cells
191692,T-cells
191698,T-cells
191722,T-cells
191741,T-cells
191745,Other_cells
191755,T-cells
191757,T-cells
191758,T-cells
191782,B-cells
191784,T-cells
191794,B-cells
191807,T-cells
191809,T-cells
191816,T-cells
191818,T-cells
191822,T-cells
191827,T-cells
191839,T-cells
191843,Other_cells
191848,T-cells
191854,T-cells
191858,T-cells
191867,T-cells
191879,T-cells
191881,T-cells
191882,T-cells
191885,T-cells
191896,Other_cells
191903,T-cells
191906,T-cells
191923,B-cells
191943,B-cells
191962,T-cells
191964,T-cells
191965,T-cells
191982,T-cells
191985,T-cells
191994,T-cells
192011,T-cells
192013,T-cells
192031,T-cells
192049,Other_cells
192065,Other_cells
192078,T-cells
192083,T-cells
192084,B-cells
192095,T-cells
192104,T-cells
192105,B-cells
192121,T-cells
192132,Monocytes
192143,T-cells
192149,Other_cells
192152,T-cells
192159,Other_cells
192162,Monocytes
192163,T-cells
192202,Monocytes
192208,T-cells
192209,Monocytes
192210,T-cells
192220,B-cells
192224,T-cells
192235,Other_cells
192238,B-cells
192239,B-cells
192243,T-cells
192251,Other_cells
192256,Monocytes
192265,B-cells
192272,T-cells
192277,T-cells
192280,Other_cells
192283,B-cells
192302,T-cells
192312,T-cells
192317,T-cells
192327,T-cells
192331,T-cells
192332,T-cells
192348,Monocytes
192349,T-cells
192350,B-cells
192351,T-cells
192354,Other_cells
192363,T-cells
192380,T-cells
192384,B-cells
192389,B-cells
192391,T-cells
192399,T-cells
192405,T-cells
192415,Other_cells
192416,T-cells
192420,T-cells
192445,T-cells
192447,T-cells
192456,T-cells
192501,B-cells
192506,T-cells
192507,T-cells
192511,T-cells
192522,T-cells
192530,T-cells
192539,T-cells
192546,Monocytes
192547,Monocytes
192555,T-cells
192569,T-cells
192585,T-cells
192588,T-cells
192592,T-cells
192602,Monocytes
192603,T-cells
192621,B-cells
192624,Other_cells
192626,B-cells
192627,T-cells
192662,T-cells
192673,Other_cells
192685,B-cells
192704,T-cells
192711,T-cells
192719,T-cells
192736,T-cells
192738,T-cells
192740,T-cells
192754,B-cells
192764,Other_cells
192765,T-cells
192766,B-cells
192785,T-cells
192790,T-cells
192795,T-cells
192806,Monocytes
192825,T-cells
192827,T-cells
192829,T-cells
192831,T-cells
192837,T-cells
192846,B-cells
192847,T-cells
192849,Monocytes
192854,B-cells
192883,T-cells
192919,T-cells
192928,T-cells
192934,T-cells
192935,T-cells
192937,T-cells
192945,T-cells
192948,T-cells
192955,T-cells
192957,B-cells
192990,Other_cells
192994,B-cells
192998,Monocytes
193005,T-cells
193012,T-cells
193025,Other_cells
193041,T-cells
193049,T-cells
193085,T-cells
193089,T-cells
193099,T-cells
193107,T-cells
193122,Monocytes
193134,B-cells
193135,T-cells
193143,T-cells
193148,B-cells
193174,T-cells
193205,T-cells
193211,T-cells
193221,Monocytes
193222,T-cells
193223,T-cells
193244,Other_cells
193248,T-cells
193254,Other_cells
193265,T-cells
193281,T-cells
193286,T-cells
193296,B-cells
193301,T-cells
193305,T-cells
193313,T-cells
193321,T-cells
193323,B-cells
193326,T-cells
193329,B-cells
193342,T-cells
193354,Other_cells
193359,Other_cells
193373,Monocytes
193394,B-cells
193400,B-cells
193419,T-cells
193424,B-cells
193454,Monocytes
193457,T-cells
193460,T-cells
193466,T-cells
193475,Monocytes
193491,T-cells
193523,B-cells
193526,Monocytes
193533,T-cells
193549,T-cells
193554,T-cells
193556,B-cells
193559,Other_cells
193566,T-cells
193567,T-cells
193568,T-cells
193569,T-cells
193573,T-cells
193595,B-cells
193600,Other_cells
193604,T-cells
193613,T-cells
193625,Monocytes
193626,B-cells
193628,T-cells
193630,B-cells
193633,T-cells
193641,T-cells
193657,T-cells
193674,T-cells
193675,T-cells
193677,T-cells
193678,T-cells
193690,Other_cells
193696,T-cells
193709,B-cells
193711,B-cells
193716,T-cells
193734,T-cells
193735,T-cells
193738,T-cells
193742,T-cells
193753,B-cells
193756,T-cells
193761,T-cells
193762,T-cells
193766,T-cells
193773,T-cells
193779,T-cells
193788,Other_cells
193789,T-cells
193804,B-cells
193808,T-cells
193809,T-cells
193817,T-cells
193818,B-cells
193824,T-cells
193841,T-cells
193851,T-cells
193852,T-cells
193857,T-cells
193860,T-cells
193868,T-cells
193871,T-cells
193876,T-cells
193884,B-cells
193894,T-cells
193911,Monocytes
193936,Monocytes
193937,Monocytes
193939,T-cells
193940,T-cells
193941,B-cells
193945,T-cells
193953,T-cells
193961,T-cells
193964,T-cells
193965,Other_cells
193967,T-cells
193969,T-cells
193975,B-cells
193976,T-cells
193979,Other_cells
193981,Monocytes
193984,T-cells
193986,B-cells
193989,T-cells
193994,T-cells
194014,T-cells
194023,T-cells
194024,B-cells
194040,T-cells
194057,B-cells
194058,T-cells
194077,T-cells
194082,B-cells
194084,Monocytes
194088,T-cells
194092,T-cells
194115,Monocytes
194118,B-cells
194121,Other_cells
194128,T-cells
194138,T-cells
194151,T-cells
194170,T-cells
194171,Other_cells
194172,T-cells
194180,T-cells
194181,T-cells
194198,B-cells
194205,T-cells
194215,T-cells
194222,B-cells
194229,B-cells
194238,T-cells
194240,B-cells
194243,B-cells
194247,T-cells
194277,B-cells
194290,Monocytes
194312,T-cells
194316,T-cells
194318,T-cells
194320,T-cells
194328,T-cells
194330,T-cells
194341,B-cells
194343,Monocytes
194352,T-cells
194357,Monocytes
194372,T-cells
194381,T-cells
194397,T-cells
194413,B-cells
194431,Monocytes
194440,T-cells
194449,B-cells
194465,T-cells
194466,B-cells
194467,Other_cells
194470,T-cells
194474,Monocytes
194489,B-cells
194497,T-cells
194512,T-cells
194519,T-cells
194523,Other_cells
194535,Other_cells
194547,T-cells
194554,T-cells
194561,T-cells
194565,T-cells
194582,B-cells
194585,T-cells
194599,T-cells
194605,B-cells
194609,Other_cells
194610,B-cells
194627,Other_cells
194632,Monocytes
194633,T-cells
194635,Other_cells
194667,T-cells
194673,Monocytes
194679,B-cells
194683,T-cells
194690,T-cells
194700,Other_cells
194701,T-cells
194708,T-cells
194723,T-cells
194731,T-cells
194736,T-cells
194738,B-cells
194747,T-cells
194757,B-cells
194764,T-cells
194772,T-cells
194800,T-cells
194820,B-cells
194826,Other_cells
194842,B-cells
194857,Monocytes
194860,T-cells
194862,T-cells
194864,T-cells
194866,T-cells
194887,T-cells
194889,Other_cells
194894,B-cells
194898,T-cells
194919,B-cells
194921,T-cells
194924,Monocytes
194941,T-cells
194945,B-cells
194965,T-cells
194976,Monocytes
194982,T-cells
194993,T-cells
194996,T-cells
195010,T-cells
195016,T-cells
195032,T-cells
195043,Monocytes
195049,B-cells
195051,T-cells
195054,T-cells
195061,T-cells
195067,T-cells
195071,T-cells
195078,B-cells
195104,T-cells
195107,B-cells
195110,B-cells
195116,B-cells
195122,T-cells
195128,T-cells
195135,Other_cells
195136,T-cells
195137,T-cells
195152,T-cells
195153,T-cells
195154,Other_cells
195159,T-cells
195163,Other_cells
195177,T-cells
195178,B-cells
195201,Monocytes
195205,T-cells
195213,B-cells
195216,T-cells
195226,T-cells
195228,B-cells
195241,T-cells
195242,T-cells
195250,Other_cells
195258,T-cells
195282,Monocytes
195283,T-cells
195301,T-cells
195308,T-cells
195313,B-cells
195321,T-cells
195327,Other_cells
195334,Monocytes
195351,T-cells
195355,B-cells
195382,Other_cells
195386,T-cells
195387,T-cells
195396,T-cells
195404,T-cells
195412,B-cells
195414,T-cells
195421,T-cells
195427,T-cells
195431,T-cells
195436,T-cells
195442,T-cells
195447,T-cells
195459,T-cells
195468,T-cells
195477,Other_cells
195478,T-cells
195485,T-cells
195502,T-cells
195513,T-cells
195517,T-cells
195518,T-cells
195521,T-cells
195532,T-cells
195567,T-cells
195573,T-cells
195577,Monocytes
195578,Monocytes
195579,T-cells
195587,Other_cells
195595,T-cells
195604,Other_cells
195606,T-cells
195614,T-cells
195628,B-cells
195644,Monocytes
195648,Monocytes
195651,T-cells
195652,T-cells
195658,T-cells
195659,B-cells
195664,B-cells
195678,Other_cells
195680,T-cells
195686,T-cells
195690,T-cells
195699,T-cells
195719,T-cells
195720,T-cells
195722,T-cells
195747,B-cells
195748,T-cells
195756,B-cells
195758,T-cells
195759,Other_cells
195764,B-cells
195775,Monocytes
195777,T-cells
195788,B-cells
195807,T-cells
195809,B-cells
195836,B-cells
195846,T-cells
195852,Monocytes
195869,T-cells
195872,T-cells
195875,Monocytes
195878,Other_cells
195879,B-cells
195890,B-cells
195903,B-cells
195914,B-cells
195917,Monocytes
195922,T-cells
195930,Monocytes
195933,T-cells
195943,Other_cells
195956,T-cells
195957,B-cells
195961,T-cells
195967,Monocytes
195979,T-cells
195984,T-cells
195997,B-cells
196007,T-cells
196013,T-cells
196017,T-cells
196020,Monocytes
196027,T-cells
196029,T-cells
196033,B-cells
196039,T-cells
196045,T-cells
196052,B-cells
196053,T-cells
196055,T-cells
196085,B-cells
196087,T-cells
196089,B-cells
196109,T-cells
196118,T-cells
196123,T-cells
196126,Monocytes
196131,Monocytes
196135,Other_cells
196137,T-cells
196168,T-cells
196173,B-cells
196199,T-cells
196221,Monocytes
196222,T-cells
196223,T-cells
196240,T-cells
196242,T-cells
196250,Other_cells
196257,T-cells
196263,T-cells
196293,B-cells
196296,T-cells
196298,Other_cells
196305,T-cells
196314,Monocytes
196317,Other_cells
196333,T-cells
196341,T-cells
196365,T-cells
196368,B-cells
196374,Monocytes
196375,Monocytes
196379,Monocytes
196397,T-cells
196398,Other_cells
196403,B-cells
196406,B-cells
196408,B-cells
196409,T-cells
196430,B-cells
196442,T-cells
196445,Monocytes
196453,B-cells
196454,Other_cells
196460,B-cells
196467,T-cells
196482,B-cells
196491,T-cells
196505,Other_cells
196509,T-cells
196532,T-cells
196548,T-cells
196553,B-cells
196558,B-cells
196565,B-cells
196567,B-cells
196570,T-cells
196588,Other_cells
196593,B-cells
196598,B-cells
196603,Other_cells
196604,T-cells
196615,T-cells
196618,T-cells
196629,Monocytes
196641,B-cells
196651,T-cells
196652,T-cells
196656,T-cells
196667,B-cells
196668,T-cells
196672,T-cells
196680,T-cells
196683,T-cells
196687,B-cells
196692,B-cells
196695,T-cells
196703,B-cells
196708,T-cells
196710,T-cells
196733,T-cells
196734,B-cells
196738,B-cells
196752,B-cells
196756,T-cells
196761,Monocytes
196777,T-cells
196781,B-cells
196786,T-cells
196805,T-cells
196809,T-cells
196819,Other_cells
196822,Other_cells
196826,T-cells
196829,T-cells
196844,B-cells
196847,T-cells
196853,B-cells
196858,T-cells
196865,Monocytes
196867,Monocytes
196886,T-cells
196892,B-cells
196899,T-cells
196928,T-cells
196929,Other_cells
196950,T-cells
196951,B-cells
196952,T-cells
196962,T-cells
196965,Other_cells
196968,T-cells
196972,B-cells
196974,Monocytes
196987,B-cells
196992,T-cells
197039,T-cells
197055,T-cells
197061,T-cells
197065,T-cells
197067,B-cells
197072,T-cells
197091,T-cells
197108,T-cells
197129,T-cells
197133,T-cells
197135,B-cells
197137,B-cells
197145,T-cells
197150,T-cells
197155,T-cells
197156,T-cells
197157,T-cells
197174,T-cells
197177,Monocytes
197178,T-cells
197180,T-cells
197184,T-cells
197191,T-cells
197206,T-cells
197212,T-cells
197213,T-cells
197219,T-cells
197235,T-cells
197242,B-cells
197277,B-cells
197282,T-cells
197289,B-cells
197296,Monocytes
197315,B-cells
197322,Other_cells
197334,Other_cells
197335,B-cells
197339,B-cells
197362,T-cells
197364,T-cells
197365,T-cells
197379,B-cells
197401,T-cells
197422,T-cells
197435,T-cells
197436,B-cells
197460,Monocytes
197461,T-cells
197462,T-cells
197469,Other_cells
197478,T-cells
197485,T-cells
197487,T-cells
197494,B-cells
197503,T-cells
197522,T-cells
197523,T-cells
197524,T-cells
197537,T-cells
197540,T-cells
197541,Monocytes
197551,T-cells
197558,Other_cells
197561,T-cells
197572,T-cells
197586,T-cells
197590,T-cells
197593,T-cells
197623,T-cells
197624,T-cells
197645,Other_cells
197662,T-cells
197691,B-cells
197696,Monocytes
197714,Other_cells
197715,T-cells
197725,T-cells
197745,T-cells
197749,T-cells
197766,T-cells
197769,Other_cells
197775,Monocytes
197781,T-cells
197788,B-cells
197791,T-cells
197794,Monocytes
197811,B-cells
197826,T-cells
197828,B-cells
197835,T-cells
197838,T-cells
197842,T-cells
197844,T-cells
197845,T-cells
197848,B-cells
197853,T-cells
197857,Monocytes
197860,T-cells
197873,T-cells
197882,T-cells
197888,T-cells
197908,Monocytes
197917,T-cells
197919,T-cells
197921,T-cells
197926,Other_cells
197937,B-cells
197939,T-cells
197940,T-cells
197944,T-cells
197958,T-cells
197961,B-cells
197967,B-cells
197983,T-cells
197987,T-cells
197996,T-cells
197997,T-cells
198003,T-cells
198007,T-cells
198012,T-cells
198032,B-cells
198045,B-cells
198051,T-cells
198060,T-cells
198076,B-cells
198078,T-cells
198085,T-cells
198105,B-cells
198106,T-cells
198121,B-cells
198137,B-cells
198156,B-cells
198162,T-cells
198166,T-cells
198169,Other_cells
198179,B-cells
198184,T-cells
198185,T-cells
198194,B-cells
198197,T-cells
198208,B-cells
198210,B-cells
198223,T-cells
198235,T-cells
198269,B-cells
198279,B-cells
198300,T-cells
198306,T-cells
198308,Other_cells
198312,T-cells
198316,T-cells
198326,Other_cells
198333,T-cells
198346,Monocytes
198351,B-cells
198367,B-cells
198388,T-cells
198390,T-cells
198392,T-cells
198393,T-cells
198407,T-cells
198408,T-cells
198413,B-cells
198419,Monocytes
198423,T-cells
198439,T-cells
198442,T-cells
198443,Other_cells
198454,Other_cells
198456,B-cells
198477,T-cells
198482,T-cells
198489,T-cells
198491,T-cells
198494,T-cells
198502,T-cells
198504,Other_cells
198514,B-cells
198530,B-cells
198535,T-cells
198556,T-cells
198561,T-cells
198564,T-cells
198571,Other_cells
198576,T-cells
198582,T-cells
198606,T-cells
198612,T-cells
198633,T-cells
198639,Monocytes
198651,T-cells
198655,T-cells
198658,T-cells
198659,Monocytes
198660,T-cells
198673,T-cells
198674,T-cells
198685,Other_cells
198687,B-cells
198715,T-cells
198728,T-cells
198752,B-cells
198763,T-cells
198766,T-cells
198770,T-cells
198786,T-cells
198787,B-cells
198795,Monocytes
198802,B-cells
198816,T-cells
198824,T-cells
198835,T-cells
198845,T-cells
198848,B-cells
198860,T-cells
198863,T-cells
198869,Other_cells
198870,B-cells
198873,Monocytes
198890,B-cells
198907,T-cells
198912,T-cells
198916,T-cells
198930,T-cells
198931,T-cells
198943,Monocytes
198950,Other_cells
198974,T-cells
199004,T-cells
199014,T-cells
199022,Monocytes
199025,T-cells
199027,T-cells
199037,T-cells
199039,T-cells
199043,T-cells
199058,Other_cells
199072,B-cells
199073,T-cells
199074,B-cells
199096,T-cells
199131,T-cells
199143,Monocytes
199150,B-cells
199152,T-cells
199155,T-cells
199164,B-cells
199165,T-cells
199170,B-cells
199179,B-cells
199180,Other_cells
199181,T-cells
199182,B-cells
199186,T-cells
199191,T-cells
199192,Other_cells
199193,T-cells
199197,T-cells
199201,Other_cells
199203,T-cells
199205,T-cells
199210,T-cells
199214,T-cells
199224,B-cells
199230,Monocytes
199241,T-cells
199246,T-cells
199248,T-cells
199274,Other_cells
199280,T-cells
199282,B-cells
199289,B-cells
199291,T-cells
199297,Other_cells
199301,Other_cells
199319,T-cells
199331,T-cells
199334,T-cells
199348,T-cells
199356,B-cells
199359,Other_cells
199363,T-cells
199364,B-cells
199376,T-cells
199381,B-cells
199384,Other_cells
199392,Monocytes
199398,Other_cells
199399,T-cells
199402,T-cells
199403,T-cells
199409,B-cells
199417,T-cells
199421,T-cells
199422,Other_cells
199424,T-cells
199431,T-cells
199433,Monocytes
199451,Other_cells
199459,T-cells
199470,T-cells
199499,Other_cells
199502,T-cells
199509,T-cells
199516,T-cells
199523,Monocytes
199527,T-cells
199540,Monocytes
199541,Monocytes
199542,B-cells
199547,B-cells
199551,T-cells
199557,T-cells
199572,Other_cells
199578,Monocytes
199586,T-cells
199588,B-cells
199594,Monocytes
199606,B-cells
199623,T-cells
199638,T-cells
199647,T-cells
199668,B-cells
199669,T-cells
199711,T-cells
199717,T-cells
199722,T-cells
199731,T-cells
199741,T-cells
199756,T-cells
199757,T-cells
199766,T-cells
199768,T-cells
199774,B-cells
199786,T-cells
199793,T-cells
199806,B-cells
199807,T-cells
199823,T-cells
199829,Other_cells
199834,T-cells
199845,Other_cells
199850,T-cells
199855,T-cells
199859,T-cells
199861,B-cells
199872,B-cells
199893,T-cells
199895,T-cells
199909,T-cells
199924,T-cells
199935,T-cells
199936,Monocytes
199937,T-cells
199941,T-cells
199951,T-cells
199960,T-cells
199962,T-cells
199981,T-cells
199983,T-cells
199996,Monocytes
200031,T-cells
200033,T-cells
200041,T-cells
200061,Monocytes
200066,T-cells
200072,B-cells
200081,Monocytes
200082,T-cells
200093,Other_cells
200100,Other_cells
200103,T-cells
200115,T-cells
200119,Monocytes
200120,Monocytes
200122,B-cells
200145,B-cells
200148,Other_cells
200158,B-cells
200174,T-cells
200193,T-cells
200197,B-cells
200202,T-cells
200226,T-cells
200230,Other_cells
200236,T-cells
200251,B-cells
200271,T-cells
200277,Other_cells
200278,T-cells
200279,T-cells
200286,T-cells
200288,T-cells
200306,B-cells
200307,T-cells
200309,T-cells
200317,T-cells
200318,Monocytes
200327,T-cells
200331,Other_cells
200350,T-cells
200351,T-cells
200357,Other_cells
200366,B-cells
200381,T-cells
200388,Monocytes
200396,Other_cells
200408,T-cells
200425,T-cells
200431,T-cells
200437,T-cells
200450,T-cells
200451,B-cells
200460,Other_cells
200461,T-cells
200469,Monocytes
200475,Monocytes
200483,T-cells
200489,B-cells
200491,Monocytes
200495,T-cells
200498,T-cells
200511,Other_cells
200524,B-cells
200525,B-cells
200533,T-cells
200554,T-cells
200572,B-cells
200577,T-cells
200593,T-cells
200595,T-cells
200597,B-cells
200603,T-cells
200611,B-cells
200620,Other_cells
200626,Monocytes
200628,T-cells
200630,B-cells
200631,Other_cells
200639,T-cells
200648,T-cells
200649,B-cells
200655,B-cells
200664,Monocytes
200668,T-cells
200670,B-cells
200671,Monocytes
200707,Monocytes
200730,T-cells
200734,T-cells
200768,T-cells
200771,Other_cells
200777,T-cells
200780,B-cells
200786,T-cells
200789,B-cells
200790,B-cells
200807,Monocytes
200845,Monocytes
200850,T-cells
200853,T-cells
200869,T-cells
200871,Other_cells
200874,B-cells
200898,T-cells
200909,T-cells
200910,T-cells
200912,Other_cells
200918,B-cells
200923,B-cells
200924,T-cells
200935,T-cells
200937,T-cells
200940,B-cells
200954,T-cells
200972,B-cells
200985,T-cells
200986,T-cells
201013,B-cells
201015,Monocytes
201052,T-cells
201063,T-cells
201078,Other_cells
201091,B-cells
201112,T-cells
201116,T-cells
201117,Monocytes
201124,T-cells
201128,Monocytes
201130,T-cells
201144,T-cells
201153,T-cells
201161,B-cells
201178,T-cells
201180,T-cells
201193,Monocytes
201194,T-cells
201207,B-cells
201226,T-cells
201229,T-cells
201231,T-cells
201270,T-cells
201276,B-cells
201279,B-cells
201283,Monocytes
201292,T-cells
201295,B-cells
201296,Monocytes
201302,T-cells
201307,Monocytes
201308,T-cells
201320,B-cells
201327,T-cells
201331,T-cells
201340,B-cells
201343,B-cells
201367,T-cells
201370,Monocytes
201371,Other_cells
201372,Monocytes
201394,T-cells
201397,T-cells
201415,Other_cells
201418,T-cells
201437,T-cells
201439,Monocytes
201442,T-cells
201446,T-cells
201448,T-cells
201450,B-cells
201477,Other_cells
201481,Monocytes
201486,B-cells
201520,Other_cells
201532,T-cells
201533,B-cells
201546,T-cells
201555,Monocytes
201562,T-cells
201575,B-cells
201584,T-cells
201591,T-cells
201605,T-cells
201614,B-cells
201619,T-cells
201635,T-cells
201636,T-cells
201640,T-cells
201645,T-cells
201652,T-cells
201656,Other_cells
201686,Other_cells
201688,B-cells
201690,T-cells
201691,T-cells
201705,Other_cells
201711,T-cells
201712,T-cells
201720,T-cells
201722,T-cells
201729,T-cells
201734,T-cells
201740,T-cells
201744,T-cells
201760,T-cells
201766,T-cells
201771,T-cells
201790,B-cells
201791,B-cells
201797,T-cells
201832,T-cells
201839,Monocytes
201867,Other_cells
201868,T-cells
201870,T-cells
201874,T-cells
201878,T-cells
201879,T-cells
201884,B-cells
201887,T-cells
201889,T-cells
201894,B-cells
201897,T-cells
201899,T-cells
201905,T-cells
201913,Monocytes
201918,B-cells
201923,Other_cells
201928,Other_cells
201932,T-cells
201943,T-cells
201947,B-cells
201951,Monocytes
201953,T-cells
201968,B-cells
201970,Monocytes
201972,T-cells
201975,T-cells
201977,B-cells
201983,T-cells
202011,T-cells
202014,T-cells
202037,T-cells
202040,T-cells
202057,Other_cells
202064,T-cells
202077,B-cells
202083,T-cells
202084,T-cells
202088,T-cells
202089,B-cells
202094,B-cells
202105,B-cells
202119,T-cells
202121,B-cells
202134,T-cells
202147,T-cells
202155,T-cells
202158,T-cells
202174,T-cells
202176,T-cells
202188,T-cells
202190,B-cells
202195,T-cells
202203,T-cells
202209,T-cells
202235,T-cells
202237,T-cells
202265,T-cells
202279,T-cells
202280,Monocytes
202283,B-cells
202289,Monocytes
202292,T-cells
202296,T-cells
202297,T-cells
202302,B-cells
202306,T-cells
202316,B-cells
202328,T-cells
202330,T-cells
202349,T-cells
202352,T-cells
202353,T-cells
202360,T-cells
202364,T-cells
202367,T-cells
202371,T-cells
202396,Monocytes
202405,T-cells
202406,T-cells
202421,T-cells
202424,B-cells
202426,B-cells
202427,Monocytes
202459,T-cells
202461,T-cells
202467,T-cells
202472,T-cells
202475,B-cells
202481,T-cells
202501,Monocytes
202509,T-cells
202515,B-cells
202523,T-cells
202526,T-cells
202530,B-cells
202533,T-cells
202534,T-cells
202552,Monocytes
202563,T-cells
202568,T-cells
202574,Monocytes
202580,B-cells
202584,T-cells
202595,T-cells
202608,Monocytes
202615,B-cells
202629,T-cells
202630,T-cells
202639,T-cells
202641,Monocytes
